pop_idx,regime,rho,beta,N,T,sigma,jaccard
13,rec,0.1,0.5,1000,50,4.0,0.0064000000000000055
13,partial,0.1,0.5,1000,50,4.0,0.06033333333333297
13,no_rec,0.1,0.5,1000,50,4.0,0.0008666666666666674
14,rec,0.1,0.5,1000,50,4.0,0.006333333333333339
14,partial,0.1,0.5,1000,50,4.0,0.03408435374149641
14,no_rec,0.1,0.5,1000,50,4.0,0.001466666666666668
15,rec,0.1,0.5,1000,50,4.0,0.006666666666666672
15,partial,0.1,0.5,1000,50,4.0,0.05399999999999968
15,no_rec,0.1,0.5,1000,50,4.0,0.001200000000000001
16,rec,0.1,0.5,1000,50,4.0,0.005866666666666672
16,partial,0.1,0.5,1000,50,4.0,0.04553333333333298
16,no_rec,0.1,0.5,1000,50,4.0,0.0010000000000000009
17,rec,0.1,0.5,1000,50,4.0,0.005866666666666672
17,partial,0.1,0.5,1000,50,4.0,0.05066666666666625
17,no_rec,0.1,0.5,1000,50,4.0,0.0016000000000000014
18,rec,0.1,0.5,1000,50,4.0,0.005401360544217691
18,partial,0.1,0.5,1000,50,4.0,0.038489795918367375
18,no_rec,0.1,0.5,1000,50,4.0,0.0016027210884353757
19,rec,0.1,0.5,1000,50,4.0,0.0075333333333333285
19,partial,0.1,0.5,1000,50,4.0,0.06380272108843524
19,no_rec,0.1,0.5,1000,50,4.0,0.0011333333333333343
